"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Jun.1",1.84156564107447e-16,-34.6546051768452,0.501,0.527,5.94549467220893e-12,"1","Jun"
"Ubap2l.1",1.96806296925296e-16,-0.332051160743319,0.258,0.304,6.35389129623318e-12,"1","Ubap2l"
"Ptprc.1",3.1376691540371e-16,-2.23695895767504,0.843,0.786,1.01299648638088e-11,"1","Ptprc"
"Taok3",3.46624037245584e-16,-0.253225216918265,0.192,0.235,1.11907570424737e-11,"1","Taok3"
"Hif1a.1",3.49867177412192e-16,-6.02186225339302,0.132,0.171,1.12954618227526e-11,"1","Hif1a"
"Nol7.1",4.07288107301079e-16,-0.55818861444468,0.466,0.508,1.31492965442153e-11,"1","Nol7"
"Vasp.1",6.50839278711652e-16,-0.67685713787173,0.321,0.364,2.10123461132057e-11,"1","Vasp"
"4930523C07Rik",7.43221989994729e-16,-1.19018368078737,0.481,0.517,2.39949219469798e-11,"1","4930523C07Rik"
"Atf4",8.71655218199983e-16,-0.271607317936579,0.281,0.328,2.81413887195865e-11,"1","Atf4"
"Ezr",2.80905342582623e-15,-4.8380613812833,0.417,0.457,9.06902898528e-11,"1","Ezr"
"Akap13.1",2.97746049349411e-15,-2.7405619327317,0.638,0.587,9.61273120324574e-11,"1","Akap13"
"Serf2.1",3.46509138688471e-15,-7.90414126868524,0.911,0.911,1.11870475425573e-10,"1","Serf2"
"Swi5.1",3.84353732876299e-15,-0.31552742049977,0.293,0.336,1.24088602659113e-10,"1","Swi5"
"Neat1.1",4.14651185583258e-15,-15.6955436994424,0.186,0.226,1.33870135265555e-10,"1","Neat1"
"Manf.1",4.58643422033653e-15,-0.447214146896267,0.206,0.248,1.48073028803565e-10,"1","Manf"
"Phf11b",5.58779095261099e-15,-0.270585946382356,0.083,0.115,1.80401830905046e-10,"1","Phf11b"
"Ripor2.1",6.49955775946023e-15,-0.306588113373454,0.504,0.45,2.09838222264174e-10,"1","Ripor2"
"Morf4l1",6.99370747722682e-15,-0.583148600609876,0.558,0.596,2.25791845902268e-10,"1","Morf4l1"
"Sp110.1",7.70869931057425e-15,-0.318674772157262,0.251,0.294,2.48875357241889e-10,"1","Sp110"
"Dad1.1",1.66829220597853e-14,3.36633138359228,0.569,0.521,5.38608138700167e-10,"1","Dad1"
"Sf3b2.1",2.1612356068737e-14,-0.526058640828127,0.459,0.499,6.97754915679174e-10,"1","Sf3b2"
"Aprt.1",2.95793498403736e-14,-0.626018459492517,0.278,0.234,9.54969309596461e-10,"1","Aprt"
"Tomm7.1",4.12322937255012e-14,-0.433304682510524,0.612,0.557,1.33118460292781e-09,"1","Tomm7"
"Man2b1.1",5.06786169124269e-14,-0.625054082688437,0.202,0.241,1.6361591470177e-09,"1","Man2b1"
"Eif3k.1",5.22908756596623e-14,-0.498871942328917,0.623,0.57,1.6882109206722e-09,"1","Eif3k"
"Fnbp1.1",7.56685570635736e-14,-3.10241411944421,0.219,0.258,2.44295936479748e-09,"1","Fnbp1"
"Rap1b.1",7.68515514801477e-14,-0.634679482066028,0.471,0.423,2.48115233953657e-09,"1","Rap1b"
"mt-Nd2.1",9.03549972501059e-14,-16.2163666830551,0.965,0.952,2.91711108621967e-09,"1","mt-Nd2"
"Foxn3",1.44058820465444e-13,-0.359283407658758,0.298,0.342,4.65093901872687e-09,"1","Foxn3"
"Ptma.1",1.59834245235467e-13,-34.9662284731404,0.916,0.91,5.16024860742705e-09,"1","Ptma"
"Ccdc12.1",1.81133844949943e-13,-0.375106366901621,0.294,0.335,5.84790618420892e-09,"1","Ccdc12"
"Rac2.1",3.10545690981301e-13,-4.62188725543972,0.866,0.821,1.00259676333313e-08,"1","Rac2"
"Ube2d3.1",3.57931102906325e-13,0.264770595270832,0.584,0.533,1.15558056573307e-08,"1","Ube2d3"
"Calm3.1",4.40288875287267e-13,-0.667542068856164,0.265,0.305,1.42147263386494e-08,"1","Calm3"
"Pim1.1",1.0260810769948e-12,-3.07232897207031,0.251,0.21,3.31270275707772e-08,"1","Pim1"
"Ptpn1.1",1.53550432600402e-12,-0.565172467503015,0.262,0.3,4.95737571650399e-08,"1","Ptpn1"
"Kmt2e",1.72006386804695e-12,-0.384375151554686,0.457,0.493,5.55322619798958e-08,"1","Kmt2e"
"Akr1a1.1",2.31846585508077e-12,-0.601472052193814,0.264,0.302,7.48516701312826e-08,"1","Akr1a1"
"Atxn7l3b",2.72879531670039e-12,-0.253812332900859,0.277,0.315,8.80991567996721e-08,"1","Atxn7l3b"
"Romo1.1",3.3448766510268e-12,-0.430243738633187,0.301,0.339,1.079893426784e-07,"1","Romo1"
"Prdx5.1",3.44869209245597e-12,-35.9047493971296,0.248,0.284,1.11341024204941e-07,"1","Prdx5"
"Atp5g3.1",4.00200099866357e-12,-1.743480078469,0.656,0.607,1.29204602241853e-07,"1","Atp5g3"
"Plekhj1.1",5.8018045913994e-12,-0.255431371623994,0.275,0.313,1.87311261233329e-07,"1","Plekhj1"
"Gnai2.1",6.35013490799766e-12,-13.1371867026056,0.742,0.754,2.05014105504705e-07,"1","Gnai2"
"Pabpn1.1",9.28023154550818e-12,-0.579829627531213,0.379,0.418,2.99612275446731e-07,"1","Pabpn1"
"Arglu1.1",1.24126374858345e-11,-0.350570072022527,0.275,0.311,4.00742001230168e-07,"1","Arglu1"
"Bax.1",1.7526255544433e-11,-0.979457668857383,0.26,0.296,5.65835160252018e-07,"1","Bax"
"Arf1.1",2.33971629562726e-11,-0.263160358377922,0.299,0.335,7.55377406043262e-07,"1","Arf1"
"Gm8369.1",2.46595303777259e-11,-0.29619825111987,0.313,0.275,7.96132938244882e-07,"1","Gm8369"
"Atp5md.1",2.60805649663474e-11,-0.367157808888765,0.521,0.478,8.42011039938527e-07,"1","Atp5md"
"Mdh1.1",3.13105203562516e-11,-0.373194401985858,0.254,0.29,1.01086014970158e-06,"1","Mdh1"
"Kpna4.1",3.18685860808373e-11,-0.359805511368886,0.424,0.381,1.02887730161983e-06,"1","Kpna4"
"Dhx9",3.79664258280166e-11,-0.251638097187722,0.241,0.278,1.22574605785752e-06,"1","Dhx9"
"Capza2.1",4.52734815585338e-11,-0.319580404801555,0.198,0.232,1.46165435211726e-06,"1","Capza2"
"Xrn2.1",5.47889299908931e-11,-0.360942445628279,0.242,0.278,1.76886060475598e-06,"1","Xrn2"
"Jpt1.1",5.77300574679551e-11,0.507253800048069,0.402,0.437,1.86381490535293e-06,"1","Jpt1"
"Ypel3",7.75179326245523e-11,-0.374080255525093,0.433,0.464,2.50266645478367e-06,"1","Ypel3"
"Bst2.1",7.84157266346254e-11,-45.1465815426523,0.248,0.212,2.53165173439888e-06,"1","Bst2"
"Rsrp1.1",8.43802180554676e-11,-0.816183911667255,0.478,0.509,2.72421533992077e-06,"1","Rsrp1"
"Cebpz.1",9.40733659426636e-11,-0.563154500789178,0.225,0.26,3.03715861945889e-06,"1","Cebpz"
"Arpc1b.1",1.00299624942376e-10,-8.69390300516693,0.591,0.616,3.2381733912646e-06,"1","Arpc1b"
"Fermt3.1",1.05927674399255e-10,-0.377540369225231,0.296,0.333,3.41987496797995e-06,"1","Fermt3"
"Daxx",1.07774076530315e-10,0.289399428950284,0.141,0.114,3.47948606078121e-06,"1","Daxx"
"mt-Atp8.1",1.12367747934112e-10,-8.8828712904709,0.887,0.853,3.62779274205279e-06,"1","mt-Atp8"
"Hnrnpd.1",1.14299051495963e-10,-0.569004647762798,0.347,0.382,3.69014487754718e-06,"1","Hnrnpd"
"Dpm3",1.28767316844509e-10,-0.258120515667885,0.299,0.334,4.15725282432496e-06,"1","Dpm3"
"H13.1",1.3439189652764e-10,-2.99945123151727,0.241,0.206,4.33884237939487e-06,"1","H13"
"Coro1a.1",1.49724548596949e-10,-6.02571337434804,0.947,0.92,4.83385705145249e-06,"1","Coro1a"
"Btg2.1",1.66740635675293e-10,-2.57901921634875,0.553,0.505,5.38322142277683e-06,"1","Btg2"
"Rpl7a.1",2.05370155981511e-10,-3.11705263191322,0.921,0.89,6.63037548586307e-06,"1","Rpl7a"
"Egr1.1",2.30550307848255e-10,-6.25602983643508,0.123,0.097,7.44331668888091e-06,"1","Egr1"
"Serbp1.1",2.44623089161118e-10,-0.800422215089227,0.595,0.549,7.89765643356669e-06,"1","Serbp1"
